Trials,Start Position,End Position,Card Number
3,19,44,8H
3,20,21,6S
3,21,46,AH
3,22,40,AC
3,23,34,QC
3,24,37,2S
3,25,42,KH
3,26,32,10H
3,27,47,AD
3,28,45,10D
3,29,23,4D
3,30,8,5S
3,31,9,10S
3,32,38,6C
3,33,28,QD
3,34,6,2H
3,35,16,9H
3,36,17,KS
3,37,27,2D
3,38,24,7C
3,39,1,9S
3,40,39,JS
3,41,25,5H
3,42,36,7S
3,43,49,9D
3,44,4,3D
3,45,35,10C
3,46,52,5C
3,47,7,JH
3,48,43,7D
3,49,41,QS
3,50,31,8C
3,51,11,4S
3,52,12,3S
4,1,18,9S
4,2,8,QH
4,3,43,6H
4,4,45,3D
4,5,14,3H
4,6,50,2H
4,7,51,JH
4,8,1,5S
4,9,19,10S
4,10,16,2C
4,11,17,4S
4,12,12,3S
4,13,40,KD
4,14,11,6D
4,15,15,AS
4,16,41,9H
4,17,42,KS
4,18,44,5D
4,19,36,8S
4,20,34,4C
4,21,3,6S
4,22,13,3C
4,23,2,4D
4,24,6,7C
4,25,5,5H
4,26,39,9C
4,27,7,2D
4,28,37,QD
4,29,52,KC
4,30,21,4H
4,31,4,8C
4,32,10,10H
4,33,9,JD
4,34,48,QC
4,35,35,10C
4,36,20,7S
4,37,22,2S
4,38,23,6C
4,39,47,JS
4,40,27,AC
4,41,29,QS
4,42,30,KH
4,43,31,7D
4,44,32,8H
4,45,33,10D
4,46,38,AH
4,47,46,AD
4,48,24,JC
4,49,25,9D
4,50,26,7H
4,51,28,8D
4,52,49,5C
5,1,12,5S
5,2,19,4D
5,3,42,6S
5,4,28,8C
5,5,8,5H
5,6,25,7C
5,7,46,2D
5,8,36,QH
5,9,17,JD
5,10,7,10H
5,11,22,6D
5,12,34,3S
5,13,37,3C
5,14,14,3H
5,15,47,AS
5,16,15,2C
5,17,10,4S
5,18,16,9S
5,19,49,10S
5,20,50,7S
5,21,21,4H
5,22,9,2S
5,23,27,6C
5,24,41,JC
5,25,5,9D
5,26,1,7H
5,27,43,AC
5,28,44,8D
5,29,45,QS
5,30,39,KH
5,31,51,7D
5,32,3,8H
5,33,30,10D
5,34,11,4C
5,35,32,10C
5,36,33,8S
5,37,13,QD
5,38,35,AH
5,39,20,9C
5,40,48,KD
5,41,4,9H
5,42,24,KS
5,43,40,6H
5,44,29,5D
5,45,2,3D
5,46,6,AD
5,47,38,JS
5,48,52,QC
5,49,26,5C
5,50,31,2H
5,51,23,JH
5,52,18,KC
6,1,8,7H
6,2,40,3D
6,3,32,8H
6,4,5,9H
6,5,1,9D
6,6,47,AD
6,7,51,10H
6,8,9,5H
6,9,28,2S
6,10,33,4S
6,11,22,4C
6,12,36,5S
6,13,44,QD
6,14,7,3H
6,15,11,2C
6,16,13,9S
6,17,10,JD
6,18,19,KC
6,19,6,4D
6,20,46,9C
6,21,27,4H
6,22,12,6D
6,23,16,JH
6,24,49,KS
6,25,37,7C
6,26,4,5C
6,27,31,6C
6,28,14,8C
6,29,52,5D
6,30,15,10D
6,31,20,2H
6,32,21,10C
6,33,18,8S
6,34,38,3S
6,35,17,AH
6,36,39,QH
6,37,43,3C
6,38,3,JS
6,39,45,KH
6,40,30,6H
6,41,24,JC
6,42,34,6S
6,43,48,AC
6,44,41,8D
6,45,29,QS
6,46,23,2D
6,47,35,AS
6,48,50,KD
6,49,25,10S
6,50,42,7S
6,51,26,7D
6,52,2,QC
7,1,2,9D
7,2,52,QC
7,3,3,JS
7,4,17,5C
7,5,41,9H
7,6,42,4D
7,7,12,3H
7,8,19,7H
7,9,24,5H
7,10,45,JD
7,11,23,2C
7,12,39,6D
7,13,40,9S
7,14,36,8C
7,15,47,10D
7,16,51,JH
7,17,46,AH
7,18,50,8S
7,19,10,KC
7,20,26,2H
7,21,5,10C
7,22,11,4C
7,23,20,2D
7,24,43,JC
7,25,4,10S
7,26,27,7D
7,27,28,4H
7,28,13,2S
7,29,14,QS
7,30,15,6H
7,31,25,6C
7,32,29,8H
7,33,30,4S
7,34,31,6S
7,35,32,AS
7,36,49,5S
7,37,34,7C
7,38,1,3S
7,39,35,QH
7,40,37,3D
7,41,38,8D
7,42,44,7S
7,43,33,3C
7,44,48,QD
7,45,6,KH
7,46,7,9C
7,47,9,AD
7,48,8,AC
7,49,16,KS
7,50,18,KD
7,51,21,10H
7,52,22,5D
8,1,33,3S
8,2,26,9D
8,3,3,JS
8,4,38,10S
8,5,40,10C
8,6,41,KH
8,7,42,9C
8,8,11,AC
8,9,9,AD
8,10,32,KC
8,11,8,4C
8,12,37,3H
8,13,12,2S
8,14,18,QS
8,15,19,6H
8,16,36,KS
8,17,24,5C
8,18,48,KD
8,19,50,7H
8,20,17,2D
8,21,22,10H
8,22,28,5D
8,23,47,2C
8,24,44,5H
8,25,52,6C
8,26,30,2H
8,27,31,7D
8,28,35,4H
8,29,2,8H
8,30,4,4S
8,31,10,6S
8,32,45,AS
8,33,21,3C
8,34,23,7C
8,35,14,QH
8,36,46,8C
8,37,39,3D
8,38,25,8D
8,39,49,6D
8,40,43,9S
8,41,16,9H
8,42,27,4D
8,43,6,JC
8,44,7,7S
8,45,51,JD
8,46,13,AH
8,47,34,10D
8,48,29,QD
8,49,1,5S
8,50,5,8S
8,51,15,JH
8,52,20,QC
9,1,2,5S
9,2,14,8H
9,3,27,JS
9,4,25,4S
9,5,8,8S
9,6,10,JC
9,7,18,7S
9,8,34,4C
9,9,50,AD
9,10,7,6S
9,11,9,AC
9,12,19,2S
9,13,11,AH
9,14,17,QH
9,15,20,JH
9,16,22,9H
9,17,36,2D
9,18,29,QS
9,19,32,6H
9,20,45,QC
9,21,48,3C
9,22,47,10H
9,23,51,7C
9,24,39,5C
9,25,24,8D
9,26,37,9D
9,27,41,4D
9,28,5,5D
9,29,52,QD
9,30,3,2H
9,31,4,7D
9,32,35,KC
9,33,15,3S
9,34,16,10D
9,35,13,4H
9,36,23,KS
9,37,28,3H
9,38,12,10S
9,39,30,3D
9,40,26,10C
9,41,38,KH
9,42,46,9C
9,43,49,9S
9,44,43,5H
9,45,42,AS
9,46,31,8C
9,47,1,2C
9,48,44,KD
9,49,21,6D
9,50,6,7H
9,51,33,JD
9,52,40,6C
10,1,6,2C
10,2,1,5S
10,3,5,2H
10,4,7,7D
10,5,34,5D
10,6,18,7H
10,7,20,6S
10,8,21,8S
10,9,2,AC
10,10,27,JC
10,11,24,AH
10,12,28,10S
10,13,19,4H
10,14,4,8H
10,15,17,3S
10,16,29,10D
10,17,30,QH
10,18,47,7S
10,19,49,2S
10,20,15,JH
10,21,32,6D
10,22,11,9H
10,23,14,KS
10,24,41,8D
10,25,26,4S
10,26,35,10C
10,27,39,JS
10,28,52,3H
10,29,33,QS
10,30,16,3D
10,31,36,8C
10,32,31,6H
10,33,37,JD
10,34,42,4C
10,35,43,KC
10,36,44,2D
10,37,45,9D
10,38,46,KH
10,39,48,5C
10,40,50,6C
10,41,51,4D
10,42,3,AS
10,43,12,5H
10,44,38,KD
10,45,40,QC
10,46,22,9C
10,47,23,10H
10,48,25,3C
10,49,8,9S
10,50,9,AD
10,51,10,7C
10,52,13,QD
11,1,20,5S
11,2,33,AC
11,3,34,AS
11,4,35,8H
11,5,37,2H
11,6,42,2C
11,7,43,7D
11,8,18,9S
11,9,40,AD
11,10,11,7C
11,11,1,9H
11,12,4,5H
11,13,6,QD
11,14,10,KS
11,15,14,JH
11,16,15,3D
11,17,5,3S
11,18,2,7H
11,19,25,4H
11,20,24,6S
11,21,32,8S
11,22,36,9C
11,23,7,10H
11,24,38,AH
11,25,39,3C
11,26,12,4S
11,27,13,JC
11,28,16,10S
11,29,9,10D
11,30,31,QH
11,31,41,6H
11,32,27,6D
11,33,29,QS
11,34,47,5D
11,35,8,10C
11,36,50,8C
11,37,44,JD
11,38,22,KD
11,39,21,JS
11,40,23,QC
11,41,26,8D
11,42,48,4C
11,43,49,KC
11,44,45,2D
11,45,46,9D
11,46,51,KH
11,47,52,7S
11,48,30,5C
11,49,28,2S
11,50,17,6C
11,51,3,4D
11,52,19,3H
12,1,18,9H
12,2,48,7H
12,3,25,4D
12,4,28,5H
12,5,37,3S
12,6,6,QD
12,7,45,10H
12,8,47,10C
12,9,1,10D
12,10,26,KS
12,11,49,7C
12,12,40,4S
12,13,16,JC
12,14,14,JH
12,15,7,3D
12,16,29,10S
12,17,41,6C
12,18,42,9S
12,19,19,3H
12,20,20,5S
12,21,3,JS
12,22,9,KD
12,23,10,QC
12,24,51,6S
12,25,52,4H
12,26,32,8D
12,27,31,6D
12,28,13,2S
12,29,23,QS
12,30,30,5C
12,31,11,QH
12,32,4,8S
12,33,33,AC
12,34,22,AS
12,35,12,8H
12,36,36,9C
12,37,38,2H
12,38,35,AH
12,39,44,3C
12,40,21,AD
12,41,2,6H
12,42,27,2C
12,43,24,7D
12,44,15,JD
12,45,8,2D
12,46,50,9D
12,47,17,5D
12,48,34,4C
12,49,43,KC
12,50,5,8C
12,51,39,KH
12,52,46,7S
13,1,17,10D
13,2,23,6H
13,3,8,JS
13,4,11,8S
13,5,14,8C
13,6,43,QD
13,7,40,3D
13,8,20,2D
13,9,6,KD
13,10,15,QC
13,11,1,QH
13,12,26,8H
13,13,31,2S
13,14,41,JH
13,15,38,JD
13,16,48,JC
13,17,36,5D
13,18,34,9H
13,19,4,3H
13,20,9,5S
13,21,32,AD
13,22,12,AS
13,23,21,QS
13,24,19,7D
13,25,35,4D
13,26,28,KS
13,27,29,2C
13,28,2,5H
13,29,42,10S
13,30,13,5C
13,31,49,6D
13,32,5,8D
13,33,30,AC
13,34,16,4C
13,35,33,AH
13,36,3,9C
13,37,50,3S
13,38,39,2H
13,39,44,KH
13,40,24,4S
13,41,47,6C
13,42,10,9S
13,43,25,KC
13,44,52,3C
13,45,46,10H
13,46,45,7S
13,47,51,10C
13,48,27,7H
13,49,18,7C
13,50,22,9D
13,51,37,6S
13,52,7,4H
14,1,17,QH
14,2,19,5H
14,3,29,9C
14,4,23,3H
14,5,3,8D
14,6,18,KD
14,7,25,4H
14,8,37,JS
14,9,41,5S
14,10,4,9S
14,11,51,8S
14,12,43,AS
14,13,52,5C
14,14,2,8C
14,15,24,QC
14,16,40,4C
14,17,34,10D
14,18,39,7C
14,19,9,7D
14,20,35,2D
14,21,36,QS
14,22,1,9D
14,23,6,6H
14,24,15,4S
14,25,16,KC
14,26,27,8H
14,27,28,7H
14,28,44,KS
14,29,45,2C
14,30,46,AC
14,31,47,2S
14,32,11,AD
14,33,26,AH
14,34,12,9H
14,35,10,4D
14,36,48,5D
14,37,49,6S
14,38,32,JD
14,39,38,2H
14,40,7,3D
14,41,20,JH
14,42,31,10S
14,43,33,QD
14,44,50,KH
14,45,22,7S
14,46,14,10H
14,47,5,6C
14,48,21,JC
14,49,13,6D
14,50,8,3S
14,51,30,10C
14,52,42,3C
15,1,20,9D
15,2,2,8C
15,3,37,8D
15,4,42,9S
15,5,34,6C
15,6,50,6H
15,7,51,3D
15,8,52,3S
15,9,13,7D
15,10,47,4D
15,11,8,AD
15,12,14,9H
15,13,43,6D
15,14,44,10H
15,15,45,4S
15,16,46,KC
15,17,25,QH
15,18,17,KD
15,19,40,5H
15,20,9,JH
15,21,11,JC
15,22,15,7S
15,23,22,3H
15,24,21,QC
15,25,41,4H
15,26,32,AH
15,27,38,8H
15,28,31,7H
15,29,48,9C
15,30,49,10C
15,31,10,10S
15,32,36,JD
15,33,1,QD
15,34,3,10D
15,35,4,2D
15,36,5,QS
15,37,6,JS
15,38,7,2H
15,39,19,7C
15,40,23,4C
15,41,26,5S
15,42,27,3C
15,43,28,AS
15,44,16,KS
15,45,24,2C
15,46,18,AC
15,47,12,2S
15,48,39,5D
15,49,29,6S
15,50,30,KH
15,51,35,8S
15,52,33,5C
16,1,2,9S
16,2,3,6D
16,3,4,10H
16,4,15,9D
16,5,28,QC
16,6,29,4S
16,7,35,KC
16,8,52,4D
16,9,39,9C
16,10,16,3H
16,11,23,10C
16,12,26,6H
16,13,21,4C
16,14,6,3D
16,15,7,KD
16,16,27,5D
16,17,1,5H
16,18,5,4H
16,19,42,AC
16,20,44,7C
16,21,30,7D
16,22,31,9H
16,23,36,7S
16,24,40,8H
16,25,43,KS
16,26,45,10D
16,27,47,2D
16,28,48,QS
16,29,50,JS
16,30,51,2H
16,31,11,AD
16,32,41,JH
16,33,19,10S
16,34,20,KH
16,35,12,7H
16,36,13,AH
16,37,14,5C
16,38,49,6C
16,39,17,JC
16,40,24,2S
16,41,25,8S
16,42,32,JD
16,43,38,8D
16,44,18,3S
16,45,34,QD
16,46,33,8C
16,47,46,2C
16,48,22,QH
16,49,8,5S
16,50,9,3C
16,51,10,AS
16,52,37,6S
17,1,12,5H
17,2,2,9S
17,3,40,6D
17,4,3,10H
17,5,27,4H
17,6,31,3D
17,7,46,KD
17,8,52,5S
17,9,5,3C
17,10,35,AS
17,11,23,AD
17,12,9,7H
17,13,15,AH
17,14,51,5C
17,15,4,9D
17,16,6,3H
17,17,7,JC
17,18,10,3S
17,19,11,10S
17,20,13,KH
17,21,14,4C
17,22,16,QH
17,23,19,10C
17,24,34,2S
17,25,20,8S
17,26,21,6H
17,27,25,5D
17,28,42,QC
17,29,24,4S
17,30,26,7D
17,31,30,9H
17,32,50,JD
17,33,1,8C
17,34,36,QD
17,35,32,KC
17,36,33,7S
17,37,41,6S
17,38,43,8D
17,39,44,9C
17,40,38,8H
17,41,17,JH
17,42,37,AC
17,43,8,KS
17,44,22,7C
17,45,45,10D
17,46,48,2C
17,47,49,2D
17,48,29,QS
17,49,47,6C
17,50,18,JS
17,51,28,2H
17,52,39,4D
18,1,10,8C
18,2,23,9S
18,3,24,10H
18,4,25,9D
18,5,26,3C
18,6,41,3H
18,7,52,JC
18,8,7,KS
18,9,6,7H
18,10,39,3S
18,11,1,10S
18,12,29,5H
18,13,28,KH
18,14,20,4C
18,15,13,AH
18,16,21,QH
18,17,49,JH
18,18,30,JS
18,19,43,10C
18,20,34,8S
18,21,42,6H
18,22,47,7C
18,23,44,AD
18,24,14,4S
18,25,31,5D
18,26,33,7D
18,27,35,4H
18,28,36,2H
18,29,37,QS
18,30,46,9H
18,31,48,3D
18,32,45,KC
18,33,2,7S
18,34,5,2S
18,35,50,AS
18,36,9,QD
18,37,32,AC
18,38,4,8H
18,39,11,4D
18,40,12,6D
18,41,15,6S
18,42,16,QC
18,43,3,8D
18,44,38,9C
18,45,40,10D
18,46,27,KD
18,47,8,6C
18,48,51,2C
18,49,17,2D
18,50,18,JD
18,51,19,5C
18,52,22,5S
19,1,4,10S
19,2,5,7S
19,3,7,8D
19,4,8,8H
19,5,11,2S
19,6,33,7H
19,7,34,KS
19,8,35,6C
19,9,37,QD
19,10,38,8C
19,11,39,4D
19,12,40,6D
19,13,21,AH
19,14,42,4S
19,15,46,6S
19,16,47,QC
19,17,3,2D
19,18,9,JD
19,19,14,5C
19,20,16,4C
19,21,18,QH
19,22,20,5S
19,23,22,9S
19,24,27,10H
19,25,15,9D
19,26,17,3C
19,27,29,KD
19,28,23,KH
19,29,24,5H
19,30,28,JS
19,31,30,5D
19,32,31,AC
19,33,43,7D
19,34,13,8S
19,35,10,4H
19,36,41,2H
19,37,6,QS
19,38,12,9C
19,39,49,3S
19,40,50,10D
19,41,48,3H
19,42,45,6H
19,43,2,10C
19,44,25,AD
19,45,26,KC
19,46,32,9H
19,47,52,7C
19,48,51,3D
19,49,44,JH
19,50,1,AS
19,51,36,2C
19,52,19,JC
20,1,6,AS
20,2,29,10C
20,3,9,2D
20,4,10,10S
20,5,19,7S
20,6,27,QS
20,7,24,8D
20,8,28,8H
20,9,46,JD
20,10,3,4H
20,11,47,2S
20,12,35,9C
20,13,48,8S
20,14,8,5C
20,15,50,9D
20,16,51,4C
20,17,52,3C
20,18,30,QH
20,19,23,JC
20,20,14,5S
20,21,15,AH
20,22,33,9S
20,23,34,KH
20,24,39,5H
20,25,40,AD
20,26,41,KC
20,27,43,10H
20,28,44,JS
20,29,45,KD
20,30,26,5D
20,31,31,AC
20,32,32,9H
20,33,36,7H
20,34,37,KS
20,35,38,6C
20,36,1,2C
20,37,2,QD
20,38,4,8C
20,39,5,4D
20,40,49,6D
20,41,42,2H
20,42,11,4S
20,43,12,7D
20,44,7,JH
20,45,13,6H
20,46,16,6S
20,47,17,QC
20,48,20,3H
20,49,21,3S
20,50,22,10D
20,51,18,3D
20,52,25,7C
21,1,28,2C
21,2,36,QD
21,3,5,4H
21,4,15,8C
21,5,38,4D
21,6,44,AS
21,7,20,JH
21,8,30,5C
21,9,21,2D
21,10,26,10S
21,11,34,4S
21,12,29,7D
21,13,24,6H
21,14,32,5S
21,15,25,AH
21,16,27,6S
21,17,9,QC
21,18,43,3D
21,19,10,7S
21,20,12,3H
21,21,14,3S
21,22,19,10D
21,23,37,JC
21,24,52,8D
21,25,7,7C
21,26,22,5D
21,27,23,QS
21,28,3,8H
21,29,11,10C
21,30,13,QH
21,31,17,AC
21,32,18,9H
21,33,39,9S
21,34,4,KH
21,35,6,9C
21,36,8,7H
21,37,16,KS
21,38,40,6C
21,39,41,5H
21,40,42,AD
21,41,45,KC
21,42,46,2H
21,43,47,10H
21,44,50,JS
21,45,51,KD
21,46,35,JD
21,47,1,2S
21,48,2,8S
21,49,48,6D
21,50,49,9D
21,51,31,4C
21,52,33,3C
22,1,6,2S
22,2,12,8S
22,3,11,8H
22,4,16,KH
22,5,17,4H
22,6,43,9C
22,7,44,7C
22,8,46,7H
22,9,51,QC
22,10,49,7S
22,11,33,10C
22,12,34,3H
22,13,15,QH
22,14,45,3S
22,15,18,8C
22,16,23,KS
22,17,24,AC
22,18,25,9H
22,19,30,10D
22,20,31,JH
22,21,32,2D
22,22,35,5D
22,23,36,QS
22,24,37,6H
22,25,38,AH
22,26,41,10S
22,27,1,6S
22,28,8,2C
22,29,13,7D
22,30,39,5C
22,31,40,4C
22,32,47,5S
22,33,48,3C
22,34,50,4S
22,35,52,JD
22,36,19,QD
22,37,20,JC
22,38,21,4D
22,39,22,9S
22,40,26,6C
22,41,27,5H
22,42,28,AD
22,43,3,3D
22,44,4,AS
22,45,9,KC
22,46,29,2H
22,47,2,10H
22,48,42,6D
22,49,10,9D
22,50,7,JS
22,51,14,KD
22,52,5,8D
23,1,33,6S
23,2,50,10H
23,3,30,3D
23,4,16,AS
23,5,5,8D
23,6,8,2S
23,7,12,JS
23,8,13,2C
23,9,14,KC
23,10,15,9D
23,11,21,8H
23,12,25,8S
23,13,27,7D
23,14,41,KD
23,15,42,QH
23,16,52,KH
23,17,32,4H
23,18,46,8C
23,19,31,QD
23,20,43,JC
23,21,47,4D
23,22,37,9S
23,23,38,KS
23,24,17,AC
23,25,39,9H
23,26,9,6C
23,27,10,5H
23,28,3,AD
23,29,7,2H
23,30,1,10D
23,31,26,JH
23,32,34,2D
23,33,51,10C
23,34,29,3H
23,35,22,5D
23,36,23,QS
23,37,11,6H
23,38,20,AH
23,39,35,5C
23,40,36,4C
23,41,48,10S
23,42,49,6D
23,43,40,9C
23,44,44,7C
23,45,45,3S
23,46,18,7H
23,47,28,5S
23,48,6,3C
23,49,19,7S
23,50,24,4S
23,51,2,QC
23,52,4,JD
24,1,12,10D
24,2,14,QC
24,3,15,AD
24,4,17,JD
24,5,18,8D
24,6,41,3C
24,7,42,2H
24,8,39,2S
24,9,3,6C
24,10,20,5H
24,11,23,6H
24,12,36,JS
24,13,37,2C
24,14,19,KC
24,15,1,9D
24,16,31,AS
24,17,22,AC
24,18,32,7H
24,19,33,7S
24,20,11,AH
24,21,43,8H
24,22,44,5D
24,23,4,QS
24,24,9,4S
24,25,16,8S
24,26,29,JH
24,27,34,7D
24,28,52,5S
24,29,21,3H
24,30,7,3D
24,31,28,QD
24,32,6,4H
24,33,46,6S
24,34,47,2D
24,35,48,5C
24,36,45,4C
24,37,38,9S
24,38,35,KS
24,39,13,9H
24,40,26,9C
24,41,50,KD
24,42,2,QH
24,43,51,JC
24,44,30,7C
24,45,40,3S
24,46,10,8C
24,47,5,4D
24,48,8,10S
24,49,49,6D
24,50,27,10H
24,51,24,10C
24,52,25,KH
25,1,2,9D
25,2,3,QH
25,3,45,6C
25,4,29,QS
25,5,46,4D
25,6,47,4H
25,7,48,3D
25,8,50,10S
25,9,28,4S
25,10,40,8C
25,11,41,AH
25,12,42,10D
25,13,43,9H
25,14,49,QC
25,15,44,AD
25,16,25,8S
25,17,23,JD
25,18,4,8D
25,19,1,KC
25,20,15,5H
25,21,19,3H
25,22,21,AC
25,23,24,6H
25,24,10,10C
25,25,11,KH
25,26,12,9C
25,27,26,10H
25,28,27,QD
25,29,34,JH
25,30,35,7C
25,31,36,AS
25,32,37,7H
25,33,39,7S
25,34,51,7D
25,35,52,KS
25,36,30,JS
25,37,31,2C
25,38,32,9S
25,39,38,2S
25,40,33,3S
25,41,5,3C
25,42,6,2H
25,43,7,8H
25,44,8,5D
25,45,9,4C
25,46,16,6S
25,47,17,2D
25,48,18,5C
25,49,20,6D
25,50,22,KD
25,51,14,JC
25,52,13,5S
26,1,6,KC
26,2,31,9D
26,3,32,QH
26,4,33,8D
26,5,37,3C
26,6,38,2H
26,7,35,8H
26,8,36,5D
26,9,1,4C
26,10,8,10C
26,11,9,KH
26,12,13,9C
26,13,19,5S
26,14,43,JC
26,15,29,5H
26,16,49,6S
26,17,25,2D
26,18,46,5C
26,19,50,3H
26,20,23,6D
26,21,24,AC
26,22,27,KD
26,23,47,JD
26,24,39,6H
26,25,44,8S
26,26,51,10H
26,27,3,QD
26,28,30,4S
26,29,40,QS
26,30,41,JS
26,31,42,2C
26,32,45,9S
26,33,48,3S
26,34,52,JH
26,35,28,7C
26,36,4,AS
26,37,10,7H
26,38,34,2S
26,39,22,7S
26,40,2,8C
26,41,11,AH
26,42,12,10D
26,43,14,9H
26,44,16,AD
26,45,26,6C
26,46,20,4D
26,47,5,4H
26,48,21,3D
26,49,15,QC
26,50,17,10S
26,51,7,7D
26,52,18,KS
27,1,43,4C
27,2,44,8C
27,3,36,QD
27,4,40,AS
27,5,41,4H
27,6,45,KC
27,7,46,7D
27,8,47,10C
27,9,48,KH
27,10,42,7H
27,11,49,AH
27,12,1,10D
27,13,2,9C
27,14,3,9H
27,15,7,QC
27,16,38,AD
27,17,19,10S
27,18,39,KS
27,19,18,5S
27,20,24,4D
27,21,20,3D
27,22,21,7S
27,23,22,6D
27,24,23,AC
27,25,9,2D
27,26,33,6C
27,27,34,KD
27,28,35,7C
27,29,37,5H
27,30,51,4S
27,31,52,9D
27,32,31,QH
27,33,26,8D
27,34,27,2S
27,35,28,8H
27,36,10,5D
27,37,8,3C
27,38,25,2H
27,39,4,6H
27,40,15,QS
27,41,16,JS
27,42,17,2C
27,43,29,JC
27,44,30,8S
27,45,32,9S
27,46,6,5C
27,47,11,JD
27,48,12,3S
27,49,13,6S
27,50,14,3H
27,51,5,10H
27,52,50,JH
28,1,8,10D
28,2,10,9C
28,3,11,9H
28,4,13,6H
28,5,18,10H
28,6,19,5C
28,7,22,QC
28,8,23,3C
28,9,35,2D
28,10,27,5D
28,11,32,JD
28,12,33,3S
28,13,50,6S
28,14,28,3H
28,15,29,QS
28,16,26,JS
28,17,5,2C
28,18,9,5S
28,19,12,10S
28,20,30,3D
28,21,31,7S
28,22,46,6D
28,23,47,AC
28,24,7,4D
28,25,16,2H
28,26,17,8D
28,27,20,2S
28,28,21,8H
28,29,24,JC
28,30,25,8S
28,31,36,QH
28,32,2,9S
28,33,37,6C
28,34,38,KD
28,35,39,7C
28,36,14,QD
28,37,48,5H
28,38,52,AD
28,39,3,KS
28,40,40,AS
28,41,42,4H
28,42,44,7H
28,43,45,4C
28,44,51,8C
28,45,6,KC
28,46,34,7D
28,47,1,10C
28,48,4,KH
28,49,15,AH
28,50,49,JH
28,51,41,4S
28,52,43,9D
29,1,6,10C
29,2,7,9S
29,3,29,KS
29,4,38,KH
29,5,40,2C
29,6,52,KC
29,7,4,4D
29,8,14,10D
29,9,20,5S
29,10,36,9C
29,11,37,9H
29,12,39,10S
29,13,41,6H
29,14,45,QD
29,15,1,AH
29,16,2,2H
29,17,9,8D
29,18,18,10H
29,19,22,5C
29,20,23,2S
29,21,24,8H
29,22,25,QC
29,23,26,3C
29,24,27,JC
29,25,28,8S
29,26,30,JS
29,27,31,5D
29,28,32,3H
29,29,33,QS
29,30,34,3D
29,31,51,7S
29,32,16,JD
29,33,50,3S
29,34,8,7D
29,35,49,2D
29,36,12,QH
29,37,13,6C
29,38,17,KD
29,39,19,7C
29,40,42,AS
29,41,46,4S
29,42,47,4H
29,43,48,9D
29,44,44,7H
29,45,21,4C
29,46,35,6D
29,47,15,AC
29,48,3,5H
29,49,10,JH
29,50,11,6S
29,51,5,8C
29,52,43,AD
30,1,28,AH
30,2,46,2H
30,3,12,5H
30,4,14,4D
30,5,6,8C
30,6,25,10C
30,7,26,9S
30,8,27,7D
30,9,2,8D
30,10,8,JH
30,11,9,6S
30,12,10,QH
30,13,15,6C
30,14,16,10D
30,15,19,AC
30,16,20,JD
30,17,21,KD
30,18,3,10H
30,19,4,7C
30,20,5,5S
30,21,7,4C
30,22,17,5C
30,23,13,2S
30,24,1,8H
30,25,30,QC
30,26,39,3C
30,27,40,JC
30,28,45,8S
30,29,44,KS
30,30,52,JS
30,31,47,5D
30,32,48,3H
30,33,50,QS
30,34,51,3D
30,35,24,6D
30,36,49,9C
30,37,29,9H
30,38,31,KH
30,39,32,10S
30,40,33,2C
30,41,34,6H
30,42,35,AS
30,43,36,AD
